t	P_2
185.500000	-4.247226
185.600000	-4.247226
185.700000	-4.247226
185.800000	-4.247226
185.900000	-4.247226
186.000000	-4.247226
186.100000	-4.247226
186.200000	-4.247226
186.300000	-4.247226
186.400000	-4.247226
186.500000	-4.247226
186.600000	-4.247226
186.700000	-4.247226
186.800000	-4.247226
186.900000	-4.247226
187.000000	-4.247226
187.100000	-4.247226
187.200000	-4.247226
187.300000	-4.247226
187.400000	-4.247226
187.500000	-4.247226
187.600000	-4.247226
187.700000	-4.247226
187.800000	-4.247226
187.900000	-4.247226
188.000000	-4.247226
188.100000	-4.247226
188.200000	-4.247226
188.300000	-4.247226
188.400000	-4.247226
188.500000	-4.247226
188.600000	-4.247226
188.700000	-4.247226
188.800000	-4.247226
188.900000	-4.247226
189.000000	-4.247226
189.100000	-4.247226
189.200000	-4.247226
189.300000	-4.247226
189.400000	-4.247226
189.500000	-4.247226
189.600000	-4.247226
189.700000	-4.247226
189.800000	-4.247226
189.900000	-4.247226
190.000000	-4.247226
190.100000	-4.247226
190.200000	-4.247226
190.300000	-4.247226
190.400000	-4.247226
190.500000	-4.247226
190.600000	-4.247226
190.700000	-4.247226
190.800000	-4.247226
190.900000	-4.247226
191.000000	-4.247226
191.100000	-4.247226
191.200000	-4.247226
191.300000	-4.247226
191.400000	-4.247226
191.500000	-4.247226
191.600000	-4.247226
191.700000	-4.247226
191.800000	-4.247226
191.900000	-4.247226
192.000000	-4.247226
192.100000	-4.247226
192.200000	-4.247226
192.300000	-4.247226
192.400000	-4.247226
192.500000	-4.247226
192.600000	-4.247226
192.700000	-4.247226
192.800000	-4.247226
192.900000	-4.247226
193.000000	-4.247226
193.100000	-4.247226
193.200000	-4.247226
193.300000	-4.247226
193.400000	-4.247226
193.500000	-4.247226
193.600000	-4.247226
193.700000	-4.247226
193.800000	-4.247226
193.900000	-4.247226
194.000000	-4.247226
194.100000	-4.247226
194.200000	-4.247226
194.300000	-4.247226
194.400000	-4.247226
194.500000	-4.247226
194.600000	-4.247226
194.700000	-4.247226
194.800000	-4.247226
194.900000	-4.247226
195.000000	-4.247226
195.100000	-4.247226
195.200000	-4.247226
195.300000	-4.247226
195.400000	-4.247226
195.500000	-4.247226
195.600000	-4.247226
195.700000	-4.247226
195.800000	-4.247226
195.900000	-4.247226
196.000000	-4.247226
196.100000	-4.247226
196.200000	-4.247226
196.300000	-4.247226
196.400000	-4.247226
196.500000	-4.247226
196.600000	-4.247226
196.700000	-4.247226
196.800000	-4.247226
196.900000	-4.247226
197.000000	-4.247226
197.100000	-4.247226
197.200000	-4.247226
197.300000	-4.247226
197.400000	-4.247226
197.500000	-4.247226
197.600000	-4.247226
197.700000	-4.247226
197.800000	-4.247226
197.900000	-4.247226
198.000000	-4.247226
198.100000	-4.247226
198.200000	-4.247226
198.300000	-4.247226
198.400000	-4.247226
198.500000	-4.247226
198.600000	-4.247226
198.700000	-4.247226
198.800000	-4.247226
198.900000	-4.247226
199.000000	-4.247226
199.100000	-4.247226
199.200000	-4.247226
199.300000	-4.247226
199.400000	-4.247226
199.500000	-4.247226
199.600000	-4.247226
199.700000	-4.247226
199.800000	-4.247226
199.900000	-4.247226
200.000000	-4.247226
200.100000	-4.247226
200.200000	-4.247226
200.300000	-4.247226
200.400000	-4.247226
200.500000	-4.247226
200.600000	-4.247226
200.700000	-4.247226
200.800000	-4.247226
200.900000	-4.247226
201.000000	-4.247226
201.100000	-4.247226
201.200000	-4.247226
201.300000	-4.247226
201.400000	-4.247226
201.500000	-4.247226
201.600000	-4.247226
201.700000	-4.247226
201.800000	-4.247226
201.900000	-4.247226
202.000000	-4.247226
202.100000	-4.247226
202.200000	-4.247226
202.300000	9.304039
202.400000	28.328892
202.500000	48.611933
202.600000	69.460617
202.700000	90.643865
202.800000	112.149518
202.900000	133.902822
203.000000	155.868988
203.100000	178.100306
203.200000	200.554692
203.300000	223.204447
203.400000	246.095049
203.500000	269.217520
203.600000	292.576183
203.700000	316.130056
203.800000	339.881044
203.900000	363.842615
204.000000	387.975791
204.100000	412.286821
204.200000	436.808668
204.300000	461.505719
204.400000	486.373309
204.500000	511.451411
204.600000	536.707542
204.700000	562.155052
204.800000	587.754672
204.900000	557.833044
205.000000	472.653849
205.100000	387.851039
205.200000	303.273843
205.300000	218.902536
205.400000	134.740315
205.500000	50.744613
205.600000	-32.989402
205.700000	-116.483422
205.800000	-199.801998
205.900000	-282.936530
206.000000	-365.937938
206.100000	-448.778315
206.200000	-531.383261
206.300000	-602.715580
206.400000	-574.951892
206.500000	-547.154253
206.600000	-519.290572
206.700000	-491.331463
206.800000	-463.273160
206.900000	-435.124521
207.000000	-406.877143
207.100000	-378.506758
207.200000	-350.054570
207.300000	-321.518118
207.400000	-292.945243
207.500000	-264.293940
207.600000	-235.546750
207.700000	-206.724283
207.800000	-177.822083
207.900000	-148.863289
208.000000	-119.861682
208.100000	-90.777601
208.200000	-61.648149
208.300000	-32.443651
208.400000	-3.198273
208.500000	26.105392
208.600000	55.479696
208.700000	84.944393
208.800000	114.414833
208.900000	143.925439
209.000000	173.436442
209.100000	202.969636
209.200000	232.557231
209.300000	262.166091
209.400000	291.782041
209.500000	321.406461
209.600000	351.049331
209.700000	380.737772
209.800000	410.416424
209.900000	440.069600
210.000000	469.743860
210.100000	499.433058
210.200000	529.150586
210.300000	558.842099
210.400000	588.472489
210.500000	615.535967
210.600000	621.254963
210.700000	580.450313
210.800000	514.642538
210.900000	446.679549
211.000000	378.773407
211.100000	310.802655
211.200000	242.791876
211.300000	174.848284
211.400000	106.945515
211.500000	38.976398
211.600000	-29.002079
211.700000	-96.910638
211.800000	-164.814484
211.900000	-232.765671
212.000000	-300.737050
212.100000	-368.749731
212.200000	-436.779994
212.300000	-504.888773
212.400000	-571.941379
212.500000	-620.576516
212.600000	-623.681362
212.700000	-599.712022
212.800000	-571.541772
212.900000	-543.323662
213.000000	-515.135524
213.100000	-487.062743
213.200000	-459.163299
213.300000	-431.267258
213.400000	-403.425276
213.500000	-375.790033
213.600000	-348.239612
213.700000	-320.781708
213.800000	-293.463470
213.900000	-266.305078
214.000000	-239.232216
214.100000	-212.195888
